UserProfileId,BirthDate,ZipCode,CountryName,Sex,Registration Date,City,CountryId,StatusSysname
1504977,1991-12-23 00:00:00.000,17342,Greece,M,2021-08-03 07:03:20.000,Athens,1,TEST
1258660,1991-07-06 00:00:00.000,15344,Greece,F,2021-01-15 09:03:21.000,pallini,1,TEST
1531613,1997-08-18 00:00:00.000,666666,Greece,M,2021-09-14 06:20:33.000,MENIDI,1,TEST
1278219,1985-02-01 00:00:00.000,14122,Greece,M,2021-01-28 14:14:02.000,Athens,1,TEST
1414194,1990-11-06 00:00:00.000,11636,Greece,M,2021-05-05 12:18:30.000,poli,1,TEST
1506014,1990-01-01 00:00:00.000,115245,Greece,M,2021-08-05 09:28:24.000,nikaia,1,TEST
1375219,1991-01-20 00:00:00.000,12345,Greece,M,2021-04-06 08:50:58.000,testcity,1,TEST
1274894,1992-04-03 00:00:00.000,11362,Greece,F,2021-01-25 23:05:29.000,ATHINA,1,TEST
1437400,1996-07-02 00:00:00.000,42069,Greece,M,2021-05-27 13:56:05.000,Athens,1,TEST
1545294,1974-11-18 00:00:00.000,14785,Greece,M,2021-09-30 09:10:40.000,peiraias,1,TEST
1506013,1966-01-03 00:00:00.000,19009,Greece,M,2021-08-05 09:14:37.000,Rafina,1,TEST
1684775,1990-11-06 00:00:00.000,11636,Greece,M,2022-02-14 13:58:52.000,athens,1,TEST
1258660,1991-07-06 00:00:00.000,15344,Greece,F,2021-01-15 09:03:21.000,pallini,1,TEST
1287436,1990-08-19 00:00:00.000,11474,Greece,M,2021-02-04 08:32:12.000,Athens,1,TEST
1479757,1991-01-01 00:00:00.000,W1D1AU,Ireland,M,2021-07-01 08:16:16.000,London,56,TEST
1269209,1996-05-24 00:00:00.000,18544,Greece,F,2021-01-22 10:53:41.000,peiraias,1,TEST
1684701,1978-02-14 00:00:00.000,13222,Greece,M,2022-02-14 12:09:06.000,cvhjj,1,TEST
1269209,1996-05-24 00:00:00.000,18544,Greece,F,2021-01-22 10:53:41.000,peiraias,1,TEST
